FPGA contract: uint8/256 input, same-mode Conv1, stride 1, output Q8
Config: EPOCHS=50, LR=0.001, BATCH=128, K=16, N=3, PATIENCE=10
Epoch | Train Loss | Train Acc | Test Loss | Test Acc |       LR
----------------------------------------------------------------
    1 |     1.9952 |    26.32% |    1.6759 |   38.82% | 0.001000
    2 |     1.7254 |    37.07% |    1.5275 |   44.54% | 0.001000
    3 |     1.6233 |    41.38% |    1.4929 |   45.98% | 0.001000
    4 |     1.5510 |    44.15% |    1.3395 |   52.32% | 0.001000
    5 |     1.4782 |    46.93% |    1.2717 |   54.92% | 0.001000
    6 |     1.4271 |    49.07% |    1.2430 |   55.86% | 0.001000
    7 |     1.3806 |    51.20% |    1.1820 |   57.93% | 0.001000
    8 |     1.3415 |    52.13% |    1.1457 |   59.90% | 0.001000
    9 |     1.3031 |    53.77% |    1.1689 |   59.15% | 0.001000
   10 |     1.2870 |    54.30% |    1.0936 |   61.22% | 0.001000
   11 |     1.2274 |    56.69% |    1.0500 |   63.11% | 0.000500
   12 |     1.2098 |    57.49% |    1.0415 |   63.48% | 0.000500
   13 |     1.1943 |    58.05% |    1.0240 |   64.71% | 0.000500
   14 |     1.1751 |    58.65% |    1.0197 |   64.54% | 0.000500
   15 |     1.1733 |    59.02% |    1.0003 |   64.95% | 0.000500
   16 |     1.1569 |    59.39% |    0.9888 |   65.52% | 0.000500
   17 |     1.1509 |    59.83% |    0.9916 |   65.40% | 0.000500
   18 |     1.1428 |    60.04% |    0.9735 |   66.31% | 0.000500
   19 |     1.1285 |    60.54% |    0.9826 |   65.93% | 0.000500
   20 |     1.1166 |    60.83% |    0.9490 |   67.28% | 0.000500
   21 |     1.0980 |    61.75% |    0.9380 |   67.79% | 0.000250
   22 |     1.0936 |    61.56% |    0.9403 |   67.67% | 0.000250
   23 |     1.0822 |    62.03% |    0.9292 |   67.93% | 0.000250
   24 |     1.0752 |    62.28% |    0.9249 |   68.17% | 0.000250
   25 |     1.0751 |    62.53% |    0.9228 |   68.11% | 0.000250
   26 |     1.0698 |    62.34% |    0.9303 |   67.75% | 0.000250
   27 |     1.0737 |    62.59% |    0.9207 |   68.40% | 0.000250
   28 |     1.0614 |    62.85% |    0.9151 |   68.46% | 0.000250
   29 |     1.0581 |    62.97% |    0.9073 |   68.74% | 0.000250
   30 |     1.0546 |    63.22% |    0.9029 |   68.79% | 0.000250
   31 |     1.0394 |    63.83% |    0.8972 |   69.03% | 0.000125
   32 |     1.0391 |    63.81% |    0.8946 |   69.29% | 0.000125
   33 |     1.0381 |    63.64% |    0.8905 |   69.20% | 0.000125
   34 |     1.0412 |    63.73% |    0.8993 |   69.05% | 0.000125
   35 |     1.0333 |    64.09% |    0.9161 |   68.54% | 0.000125
   36 |     1.0301 |    64.20% |    0.8911 |   69.23% | 0.000125
   37 |     1.0309 |    64.02% |    0.8860 |   69.49% | 0.000125
   38 |     1.0255 |    64.05% |    0.8893 |   69.25% | 0.000125
   39 |     1.0296 |    64.07% |    0.8993 |   69.07% | 0.000125
   40 |     1.0239 |    64.05% |    0.8874 |   69.34% | 0.000125
   41 |     1.0165 |    64.48% |    0.8809 |   69.74% | 0.000063
   42 |     1.0156 |    64.64% |    0.8776 |   70.08% | 0.000063
   43 |     1.0102 |    64.70% |    0.8794 |   69.68% | 0.000063
   44 |     1.0143 |    64.57% |    0.8769 |   69.91% | 0.000063
   45 |     1.0108 |    64.75% |    0.8743 |   70.08% | 0.000063
   46 |     1.0155 |    64.46% |    0.8796 |   69.79% | 0.000063
   47 |     1.0061 |    65.03% |    0.8769 |   69.93% | 0.000063
   48 |     1.0019 |    65.19% |    0.8753 |   69.73% | 0.000063
   49 |     1.0097 |    65.01% |    0.8707 |   69.93% | 0.000063
   50 |     1.0055 |    64.85% |    0.8753 |   69.89% | 0.000063

Best test accuracy: 70.08%
