# FPGA Conv1 Quantization Report
# Source model: trained_k16.pth
# Test accuracy: 70.08%
# Kernel size (N): 3
# Output channels (K): 16
# Output fraction bits: 8
#
#  Ch  Shift   Fw      Bias_Q       MaxAbsW
# ---  -----  ---  ----------  ------------
    0      8    8       -1564    0.39921471
    1      8    8        1740    0.35984325
    2      9    9       13386    0.19964413
    3      8    8       -3242    0.35589269
    4      8    8         380    0.32130560
    5      8    8       11015    0.36468837
    6      8    8        3957    0.49402723
    7      7    7       -1367    0.96617228
    8      8    8       -4797    0.30794665
    9      8    8       -1364    0.41037250
   10      8    8        -873    0.39247569
   11      7    7         839    0.87056804
   12      8    8        7428    0.39879486
   13      8    8      -15143    0.33268443
   14      8    8         883    0.33028808
   15      8    8        -357    0.31131011
